2025-07-23 14:49:11 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:49:16 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:49:20 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:49:25 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:49:29 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:49:33 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 14:51:29 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:51:33 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:51:36 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:51:40 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:51:45 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:51:49 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:51:53 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 15:05:04 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 15:05:08 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 15:05:13 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 15:05:20 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 15:05:26 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 15:05:30 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 15:05:35 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 15:08:37 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 15:08:42 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 15:08:46 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 15:08:50 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 15:08:56 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 15:09:04 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 15:09:08 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-30 13:33:29 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
